CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,CodingScore,PlacementStatus
7.6,1,2,2,85,4.56,No,No,67,71,4,NotPlaced
6.68,2,3,2,72,3.99,No,No,63,76,4,NotPlaced
7.38,1,3,0,83,4.28,No,Yes,61,68,11,NotPlaced
8.08,1,3,2,77,4.29,Yes,Yes,74,72,17,Placed
7.02,0,3,2,77,3.83,No,No,71,64,13,NotPlaced
7.68,2,1,0,73,4.38,No,Yes,65,71,0,NotPlaced
7.28,1,2,0,76,4.03,No,Yes,73,71,13,NotPlaced
7.69,1,2,0,79,4.41,Yes,Yes,73,82,21,Placed
7.43,0,2,1,73,3.64,No,Yes,63,65,9,NotPlaced
8.12,1,1,1,84,4.54,No,Yes,71,81,16,Placed
7.76,1,3,0,76,4.01,No,No,64,77,4,NotPlaced
7.23,2,1,0,81,4.0,No,No,61,72,9,NotPlaced
7.91,1,3,1,76,4.51,No,No,68,73,13,NotPlaced
7.76,2,3,1,84,4.56,Yes,No,65,77,10,NotPlaced
7.44,2,3,1,76,3.3,No,No,57,76,12,NotPlaced
7.82,1,1,0,84,3.8,No,No,60,80,5,NotPlaced
7.87,1,1,2,85,4.18,Yes,No,68,88,22,Placed
6.83,2,2,2,67,3.41,No,Yes,62,69,3,NotPlaced
8.22,1,1,2,86,4.32,Yes,Yes,78,73,19,Placed
6.97,0,2,2,69,4.22,No,No,63,75,13,NotPlaced
7.05,0,1,0,83,4.14,Yes,Yes,76,83,19,Placed
7.86,1,2,2,79,4.34,No,No,57,71,17,NotPlaced
7.28,1,2,0,82,3.69,No,No,70,73,13,NotPlaced
7.51,1,0,0,76,3.65,No,Yes,66,63,16,NotPlaced
7.74,1,1,0,79,4.8,No,No,55,68,12,NotPlaced
7.73,1,2,0,78,3.83,No,Yes,58,65,10,NotPlaced
7.89,1,3,2,88,4.38,No,Yes,82,66,22,Placed
7.62,1,3,3,80,4.56,Yes,Yes,81,81,20,Placed
7.81,0,2,2,73,3.92,No,Yes,55,70,16,NotPlaced
8.16,2,3,2,90,4.54,Yes,Yes,66,80,23,Placed
7.66,1,2,1,80,4.27,Yes,Yes,80,74,26,Placed
7.29,0,2,0,74,4.16,No,No,65,77,7,NotPlaced
7.42,1,2,2,82,3.75,No,Yes,68,70,4,NotPlaced
7.54,1,2,1,80,3.68,No,No,65,83,16,NotPlaced
7.61,2,3,0,82,4.45,Yes,Yes,77,84,19,Placed
7.05,1,3,1,80,3.89,No,No,65,66,13,NotPlaced
7.69,1,2,1,78,4.61,Yes,Yes,90,81,21,Placed
7.42,1,1,1,77,3.9,Yes,No,60,74,15,NotPlaced
8.02,2,3,1,88,4.66,Yes,Yes,79,82,16,Placed
7.47,0,3,2,85,4.27,Yes,Yes,69,78,24,Placed
8.39,2,2,1,83,4.73,Yes,Yes,75,86,29,Placed
7.35,0,1,0,77,4.3,Yes,No,72,78,5,NotPlaced
7.97,1,3,2,89,4.13,Yes,Yes,68,80,24,Placed
7.56,0,3,1,72,4.44,No,Yes,65,74,15,NotPlaced
8.95,2,3,2,85,4.44,No,Yes,73,75,26,Placed
7.34,1,3,2,88,4.61,Yes,Yes,74,79,24,Placed
8.6,0,3,2,80,4.35,Yes,Yes,76,78,25,Placed
8.41,1,3,0,85,4.23,Yes,Yes,74,76,19,Placed
7.99,1,2,0,84,4.46,Yes,Yes,66,76,28,Placed
7.18,1,3,0,78,4.06,Yes,Yes,73,67,5,NotPlaced
8.14,2,3,0,87,4.48,Yes,Yes,77,78,23,Placed
7.42,1,1,2,73,4.32,No,No,64,70,16,NotPlaced
7.66,1,2,2,79,4.43,No,No,70,67,14,NotPlaced
7.48,1,3,0,71,4.09,Yes,No,63,69,12,NotPlaced
7.71,2,3,2,80,4.37,Yes,Yes,79,85,27,Placed
7.76,1,2,2,78,4.42,No,Yes,65,81,16,NotPlaced
7.31,1,2,0,74,4.21,No,Yes,67,72,2,NotPlaced
7.31,1,2,0,77,3.87,No,No,69,62,10,NotPlaced
8.04,1,1,0,70,4.11,No,Yes,67,66,7,NotPlaced
7.7,0,3,2,76,3.6,No,No,70,71,16,NotPlaced
7.89,1,3,0,83,4.36,Yes,Yes,86,77,20,Placed
6.84,0,2,0,87,4.37,Yes,Yes,75,76,23,Placed
8.77,0,2,2,84,4.71,Yes,Yes,76,80,17,Placed
9.1,1,3,1,88,4.45,Yes,Yes,81,88,26,Placed
8.06,1,1,2,87,4.72,Yes,Yes,77,85,25,Placed
8.71,1,1,2,82,4.59,Yes,No,74,80,19,Placed
8.35,0,3,1,86,4.41,No,Yes,69,79,21,Placed
7.84,1,1,0,79,3.55,No,No,56,65,0,NotPlaced
7.59,0,2,3,89,4.33,No,No,63,69,6,NotPlaced
6.5,1,3,2,70,4.0,No,No,68,67,11,NotPlaced
8.22,0,2,0,82,4.5,Yes,Yes,66,83,15,Placed
7.58,2,2,0,82,4.19,Yes,No,69,78,13,NotPlaced
7.25,1,2,0,83,4.73,No,No,55,69,12,NotPlaced
8.25,1,3,2,77,4.78,Yes,No,74,82,26,Placed
8.33,2,2,0,85,4.4,Yes,Yes,75,82,23,Placed
7.72,2,3,2,90,4.72,Yes,Yes,71,82,22,Placed
7.84,1,2,2,74,4.04,No,No,59,69,0,NotPlaced
7.35,1,2,2,79,4.37,Yes,Yes,67,75,14,NotPlaced
7.71,2,2,2,80,3.6,No,No,75,72,14,NotPlaced
6.97,1,3,2,81,3.87,No,Yes,59,71,15,NotPlaced
7.46,1,3,1,75,4.29,Yes,No,55,71,8,NotPlaced
6.96,1,2,2,74,4.3,No,No,68,71,2,NotPlaced
7.98,1,3,2,81,3.9,No,Yes,66,73,13,NotPlaced
7.49,1,2,2,79,4.21,No,No,69,72,16,NotPlaced
8.34,2,2,2,83,4.48,Yes,Yes,74,81,17,Placed
8.12,1,2,0,76,4.1,Yes,No,63,63,16,NotPlaced
7.87,0,3,2,71,4.3,No,Yes,65,78,12,NotPlaced
8.26,1,3,2,82,4.71,Yes,Yes,79,75,18,Placed
7.02,2,3,2,81,3.71,Yes,Yes,57,59,6,NotPlaced
7.17,1,1,0,85,4.4,Yes,Yes,81,79,20,Placed
7.44,1,1,2,82,3.52,Yes,No,69,59,20,NotPlaced
7.34,1,3,0,71,4.23,No,Yes,72,70,10,NotPlaced
8.41,2,3,2,85,4.56,Yes,Yes,77,83,17,Placed
7.52,1,1,0,76,4.61,No,No,71,75,17,NotPlaced
7.6,1,3,0,79,4.34,No,Yes,82,78,23,Placed
7.1,0,2,2,72,4.38,No,Yes,60,76,10,NotPlaced
6.84,0,2,2,74,4.07,No,No,68,67,13,NotPlaced
7.86,1,1,1,85,4.49,No,No,69,74,16,NotPlaced
7.35,1,3,0,72,4.47,Yes,Yes,63,77,10,NotPlaced
8.36,2,3,1,87,4.58,Yes,Yes,74,83,12,Placed
7.19,2,1,2,88,4.53,Yes,Yes,70,85,18,Placed
7.89,1,1,2,66,4.45,No,Yes,65,83,12,NotPlaced
7.24,0,3,0,67,4.37,No,No,67,71,13,NotPlaced
7.38,1,3,0,74,4.16,No,No,67,63,10,NotPlaced
8.1,2,2,1,84,4.6,No,Yes,79,73,17,Placed
8.85,0,3,2,84,4.62,Yes,Yes,76,80,28,Placed
7.81,1,2,0,76,4.39,No,No,69,72,10,NotPlaced
7.91,2,3,0,85,4.22,Yes,Yes,76,72,23,Placed
7.4,1,3,2,65,4.4,No,No,68,75,7,NotPlaced
7.93,2,3,0,85,4.8,Yes,Yes,72,84,17,Placed
7.48,2,2,1,75,3.62,No,No,69,67,9,NotPlaced
8.09,1,3,2,85,4.6,No,No,78,78,24,Placed
7.56,2,3,0,79,4.42,Yes,Yes,67,76,21,Placed
7.58,2,3,2,70,4.21,No,No,75,67,9,NotPlaced
7.28,1,2,0,79,4.22,No,No,66,71,20,NotPlaced
7.94,1,3,2,81,4.34,No,Yes,73,78,22,Placed
8.03,2,2,0,77,4.19,No,No,62,76,17,NotPlaced
7.28,1,3,1,69,4.42,No,Yes,69,60,16,NotPlaced
7.67,2,2,1,73,4.22,No,Yes,64,71,9,NotPlaced
7.49,0,3,1,73,3.84,No,No,61,73,8,NotPlaced
6.91,1,2,2,71,4.8,No,Yes,69,67,8,NotPlaced
7.9,1,2,1,69,3.94,No,Yes,63,65,16,NotPlaced
7.54,1,1,0,71,4.18,No,No,58,76,15,NotPlaced
7.44,0,3,2,90,4.34,Yes,No,73,76,23,Placed
7.4,2,3,2,88,4.8,Yes,Yes,80,77,18,Placed
6.5,1,3,2,88,4.24,No,No,64,71,5,NotPlaced
8.67,2,1,2,85,4.36,Yes,Yes,72,81,21,Placed
6.95,1,2,2,77,3.56,Yes,Yes,69,75,4,NotPlaced
7.08,1,2,1,82,4.05,Yes,Yes,61,73,16,NotPlaced
7.52,1,2,0,74,3.82,Yes,No,76,71,13,NotPlaced
6.82,1,3,2,76,4.0,No,No,66,69,0,NotPlaced
6.92,1,1,2,72,4.18,Yes,No,71,68,14,NotPlaced
8.07,1,2,2,78,3.42,No,No,59,74,13,NotPlaced
7.18,1,3,3,80,4.42,No,No,57,69,8,NotPlaced
8.61,1,1,2,86,4.39,Yes,Yes,73,84,23,Placed
7.82,1,3,0,72,3.86,No,Yes,68,71,8,NotPlaced
7.31,1,2,0,75,4.35,No,Yes,65,75,5,NotPlaced
7.46,1,3,1,82,4.52,No,No,63,66,11,NotPlaced
7.34,2,3,2,87,4.54,No,No,65,73,22,Placed
8.03,1,3,0,86,4.25,Yes,Yes,64,80,24,Placed
8.58,2,3,1,85,4.8,Yes,Yes,87,80,17,Placed
7.91,1,2,2,72,4.08,No,No,69,74,11,NotPlaced
7.38,1,2,0,70,3.77,No,No,64,84,11,NotPlaced
7.6,2,3,1,72,3.7,No,Yes,61,79,7,NotPlaced
7.31,1,3,0,75,4.22,No,Yes,62,79,10,NotPlaced
7.71,1,2,2,77,4.35,No,No,56,70,8,NotPlaced
7.64,2,3,1,87,4.52,Yes,No,72,73,27,Placed
7.68,1,3,2,72,4.02,No,No,60,70,8,NotPlaced
8.28,2,3,0,83,4.36,Yes,Yes,74,77,19,Placed
8.22,1,1,2,78,3.66,No,No,67,73,7,NotPlaced
8.45,1,3,0,67,4.0,Yes,Yes,58,65,16,NotPlaced
7.95,0,3,2,84,4.48,Yes,Yes,74,83,24,Placed
6.97,0,2,0,74,4.24,No,Yes,77,75,8,NotPlaced
7.99,1,3,2,85,4.44,Yes,Yes,72,78,20,Placed
7.16,0,2,1,72,4.55,No,Yes,69,70,3,NotPlaced
6.77,1,2,0,78,4.43,No,No,63,66,11,NotPlaced
7.85,1,2,2,81,4.62,Yes,Yes,69,79,23,Placed
7.61,1,3,0,83,4.46,Yes,Yes,88,81,21,Placed
7.19,1,2,2,84,3.79,No,Yes,61,75,15,NotPlaced
6.96,1,2,1,86,4.25,Yes,Yes,76,65,17,NotPlaced
8.85,2,3,3,77,4.46,No,Yes,89,76,25,Placed
7.76,1,3,0,87,4.22,Yes,Yes,75,85,22,Placed
6.85,0,3,2,89,4.52,Yes,Yes,73,82,22,Placed
7.55,1,1,0,77,4.6,No,Yes,59,66,13,NotPlaced
6.9,1,3,2,86,4.56,No,Yes,82,78,15,Placed
8.57,2,1,2,82,4.8,Yes,Yes,69,87,17,Placed
7.33,1,1,2,69,4.29,No,No,55,76,12,NotPlaced
8.35,1,1,1,82,4.25,No,No,69,76,15,NotPlaced
8.3,1,1,0,88,4.62,No,Yes,76,81,30,Placed
7.38,2,1,1,85,4.17,No,No,73,68,11,NotPlaced
8.51,1,3,2,83,4.47,Yes,Yes,64,70,25,Placed
7.55,0,2,0,68,4.48,No,Yes,57,68,7,NotPlaced
8.34,2,3,2,87,4.66,Yes,No,81,84,25,Placed
8.13,1,2,2,76,4.61,No,No,61,75,6,NotPlaced
7.06,2,3,2,79,4.24,Yes,Yes,61,76,17,NotPlaced
6.8,0,3,0,79,4.8,Yes,Yes,70,64,13,NotPlaced
7.7,0,2,0,84,4.46,Yes,Yes,62,73,19,Placed
7.54,1,1,0,71,3.87,No,No,72,68,13,NotPlaced
7.1,1,3,2,86,4.78,Yes,Yes,75,87,23,Placed
7.79,0,3,0,85,4.31,Yes,Yes,73,77,20,Placed
9.1,2,3,2,83,4.47,No,Yes,68,81,17,Placed
8.11,2,3,0,86,4.8,Yes,Yes,73,77,26,Placed
7.42,2,1,2,84,4.55,Yes,Yes,74,78,25,Placed
7.33,0,2,2,75,3.58,No,No,58,72,12,NotPlaced
8.21,1,1,2,87,4.54,Yes,Yes,77,82,22,Placed
6.59,0,3,0,68,4.46,Yes,No,69,78,17,NotPlaced
7.82,1,2,1,72,4.03,No,No,56,62,14,NotPlaced
8.13,1,3,2,79,4.73,No,No,74,79,26,Placed
7.18,0,3,2,79,4.36,No,Yes,66,73,2,NotPlaced
7.45,2,1,2,80,3.92,No,No,57,67,13,NotPlaced
8.47,1,3,2,88,4.67,No,Yes,73,77,15,Placed
9.1,1,3,1,79,4.5,Yes,Yes,79,82,24,Placed
7.02,1,2,0,74,3.81,No,No,64,67,16,NotPlaced
7.77,0,3,2,89,4.29,Yes,Yes,64,81,30,Placed
6.84,1,3,2,79,4.29,No,No,56,65,15,NotPlaced
7.02,1,2,0,81,4.5,No,No,74,73,9,NotPlaced
7.65,1,3,2,78,3.89,No,No,57,63,7,NotPlaced
7.72,2,2,0,84,4.46,No,Yes,62,66,9,NotPlaced
7.39,1,2,2,77,4.13,No,No,71,67,15,NotPlaced
7.33,0,2,0,79,4.47,No,Yes,61,69,6,NotPlaced
7.65,1,3,1,86,4.32,Yes,Yes,73,82,24,Placed
8.09,2,3,2,86,4.72,Yes,Yes,72,84,17,Placed
7.25,1,3,0,82,4.17,No,Yes,58,67,9,NotPlaced
8.39,1,3,1,84,4.8,Yes,Yes,79,82,24,Placed
7.87,1,2,2,84,4.35,Yes,Yes,81,79,30,Placed
8.74,1,3,0,86,4.69,Yes,Yes,68,79,21,Placed
7.78,1,3,0,84,4.48,Yes,Yes,80,86,24,Placed
8.02,0,2,2,84,4.15,No,Yes,63,69,6,NotPlaced
7.61,1,1,2,77,4.26,No,Yes,64,76,12,NotPlaced
7.96,0,3,0,77,4.5,No,No,67,66,11,NotPlaced
7.11,2,2,2,72,4.29,No,No,71,72,7,NotPlaced
7.17,1,3,2,82,4.14,No,No,68,71,9,NotPlaced
7.61,1,3,0,81,3.41,No,No,64,68,1,NotPlaced
7.3,1,3,3,81,4.29,No,No,65,67,9,NotPlaced
6.68,1,3,0,80,4.43,No,Yes,66,67,17,NotPlaced
7.83,1,1,0,73,4.1,Yes,Yes,55,73,16,NotPlaced
7.32,0,2,2,75,4.33,No,No,74,65,11,NotPlaced
8.53,2,1,0,84,4.8,Yes,Yes,81,79,11,Placed
7.7,0,0,0,88,4.65,No,No,71,72,8,NotPlaced
7.77,1,3,0,78,4.61,No,No,55,79,10,NotPlaced
7.75,1,2,2,71,4.34,No,No,74,72,11,NotPlaced
8.07,2,3,0,84,4.31,Yes,Yes,69,84,17,Placed
7.35,2,1,3,76,3.95,No,Yes,68,75,3,NotPlaced
7.68,1,3,1,74,4.32,No,No,67,71,18,NotPlaced
7.61,0,2,2,76,4.1,No,Yes,68,73,16,NotPlaced
7.46,2,3,2,85,4.34,No,Yes,86,77,20,Placed
7.41,1,1,2,79,3.89,No,No,73,67,12,NotPlaced
8.04,2,3,3,81,4.66,Yes,Yes,73,74,20,Placed
8.0,1,2,2,79,4.18,Yes,No,69,75,12,NotPlaced
8.03,1,2,2,82,3.42,No,Yes,56,66,12,NotPlaced
8.11,2,3,0,75,4.21,No,Yes,68,71,13,NotPlaced
7.85,1,1,0,78,3.9,No,Yes,60,76,13,NotPlaced
7.58,1,3,2,83,4.61,Yes,No,76,68,14,Placed
8.49,2,3,2,90,4.59,No,Yes,84,76,19,Placed
7.88,1,1,2,78,4.03,No,No,68,75,12,NotPlaced
7.33,1,2,2,67,4.61,No,Yes,73,75,9,NotPlaced
8.36,1,2,0,74,3.81,Yes,No,64,70,8,NotPlaced
8.41,2,3,0,84,4.45,Yes,Yes,75,86,15,Placed
7.31,1,2,2,73,3.88,No,Yes,55,73,16,NotPlaced
7.85,2,1,2,79,4.42,Yes,Yes,68,75,15,Placed
7.77,1,3,0,78,4.59,Yes,Yes,67,88,18,Placed
7.29,0,2,0,73,4.58,No,No,68,68,21,NotPlaced
8.54,1,3,0,87,4.8,No,Yes,65,87,26,Placed
7.04,2,2,2,75,4.8,No,Yes,68,75,7,NotPlaced
7.22,1,2,2,74,4.23,No,Yes,65,64,12,NotPlaced
7.16,1,2,1,77,4.08,No,No,70,70,10,NotPlaced
8.16,1,2,0,74,4.39,No,No,76,68,15,NotPlaced
6.79,1,3,2,68,4.18,No,Yes,67,63,17,NotPlaced
7.7,1,3,3,75,4.11,No,Yes,63,67,4,NotPlaced
8.17,2,3,2,89,4.6,Yes,Yes,69,75,23,Placed
7.66,0,3,2,87,4.18,Yes,No,76,79,29,Placed
8.55,0,2,2,70,4.16,No,No,64,69,8,NotPlaced
6.73,2,1,1,82,4.8,No,No,63,76,10,NotPlaced
7.45,1,3,0,82,4.59,No,Yes,78,71,14,NotPlaced
8.4,1,3,0,82,4.09,No,No,63,77,7,NotPlaced
8.13,2,3,0,81,4.41,No,Yes,71,79,19,Placed
7.93,1,1,0,78,4.25,No,Yes,70,74,15,NotPlaced
7.32,1,2,1,73,4.05,No,No,65,79,10,NotPlaced
7.33,1,3,1,77,4.46,No,Yes,63,71,13,NotPlaced
8.23,2,3,2,83,4.75,Yes,Yes,76,82,19,Placed
7.91,1,2,2,80,4.04,No,Yes,60,80,8,NotPlaced
6.59,0,2,0,81,4.28,No,No,72,80,14,NotPlaced
8.06,1,3,2,82,4.55,Yes,Yes,79,78,16,Placed
7.3,2,3,2,86,4.71,No,Yes,84,86,15,Placed
8.83,2,1,0,85,4.61,Yes,Yes,66,72,15,Placed
7.5,1,2,1,73,3.91,No,Yes,62,68,9,NotPlaced
7.72,1,3,1,76,4.29,No,No,70,70,9,NotPlaced
7.63,1,3,1,88,4.6,Yes,Yes,80,77,22,Placed
8.33,2,1,2,87,4.44,Yes,Yes,73,86,19,Placed
7.73,1,3,0,89,4.63,No,Yes,68,82,12,Placed
7.74,1,2,0,71,3.97,No,Yes,64,71,8,NotPlaced
7.52,1,3,2,81,4.07,No,Yes,69,76,12,NotPlaced
7.77,0,2,0,78,4.18,No,No,69,72,13,NotPlaced
7.28,1,2,2,77,4.57,No,Yes,78,71,1,NotPlaced
8.08,1,2,0,90,4.54,Yes,Yes,64,86,18,Placed
7.06,1,2,3,76,3.93,No,No,70,66,19,NotPlaced
7.52,1,2,0,83,4.31,Yes,Yes,68,86,18,Placed
8.3,1,3,0,83,3.93,Yes,Yes,69,80,18,Placed
8.34,1,3,2,86,4.8,Yes,Yes,72,86,19,Placed
7.25,1,2,0,84,4.27,No,Yes,66,64,16,NotPlaced
7.91,2,3,2,90,4.75,Yes,Yes,72,75,19,Placed
7.99,2,3,2,67,4.8,No,No,73,73,10,NotPlaced
7.4,1,2,2,82,4.35,No,No,75,70,10,NotPlaced
8.1,1,3,0,85,4.41,Yes,Yes,82,78,26,Placed
7.49,0,1,1,74,4.26,No,Yes,66,73,4,NotPlaced
7.35,0,3,3,75,4.34,No,Yes,58,70,9,NotPlaced
7.81,2,2,2,85,4.8,No,Yes,73,69,24,Placed
6.88,1,0,2,79,4.33,No,No,60,72,14,NotPlaced
6.93,1,3,0,73,3.6,No,Yes,58,69,12,NotPlaced
7.47,1,3,2,77,3.93,No,No,61,67,17,NotPlaced
8.11,1,3,2,78,4.51,No,Yes,59,77,20,Placed
7.8,2,3,0,82,4.56,Yes,Yes,66,77,21,Placed
7.54,1,2,2,80,3.94,No,No,60,71,10,NotPlaced
7.72,1,1,2,73,4.47,Yes,Yes,57,74,14,NotPlaced
7.23,1,2,0,90,4.8,Yes,Yes,77,84,26,Placed
7.09,1,3,0,89,3.78,No,Yes,59,65,10,NotPlaced
6.76,1,3,0,74,4.39,No,Yes,70,69,8,NotPlaced
8.06,0,3,0,82,4.8,Yes,Yes,82,82,21,Placed
7.49,1,1,2,81,4.67,No,Yes,62,69,8,NotPlaced
7.52,1,3,0,85,4.54,Yes,No,64,76,25,Placed
7.71,2,2,1,86,4.73,Yes,No,72,74,16,Placed
7.49,0,3,1,73,4.57,No,Yes,58,72,14,NotPlaced
8.23,1,1,2,81,3.99,No,Yes,71,86,21,Placed
7.94,0,3,2,88,4.73,Yes,Yes,79,87,30,Placed
7.88,1,3,2,84,4.7,Yes,Yes,81,68,17,Placed
7.22,1,2,2,85,4.06,No,No,59,74,4,NotPlaced
7.22,0,3,1,74,3.75,No,Yes,68,70,9,NotPlaced
8.14,1,3,0,90,4.55,Yes,Yes,73,76,26,Placed
8.61,2,3,0,78,4.61,Yes,Yes,76,79,24,Placed
7.59,2,2,2,80,4.12,No,Yes,73,75,8,NotPlaced
8.02,2,3,2,85,4.61,Yes,Yes,74,83,20,Placed
7.43,1,2,2,71,4.67,No,No,63,70,15,NotPlaced
7.37,1,1,1,82,3.8,No,No,63,71,10,NotPlaced
8.15,2,3,1,84,4.8,Yes,Yes,90,87,30,Placed
7.82,1,3,2,85,4.37,Yes,Yes,83,78,19,Placed
7.62,1,2,2,81,4.22,No,No,68,65,9,NotPlaced
7.46,1,3,2,74,4.36,No,Yes,63,70,3,NotPlaced
8.64,2,2,2,87,4.12,Yes,Yes,70,78,16,Placed
7.74,1,1,1,80,4.53,No,Yes,60,78,14,NotPlaced
7.04,1,2,0,72,3.95,No,No,64,68,7,NotPlaced
7.22,0,2,1,81,4.11,Yes,No,66,73,9,NotPlaced
7.82,1,1,2,82,4.53,Yes,Yes,72,76,21,Placed
8.58,1,3,2,87,4.49,Yes,Yes,83,77,20,Placed
7.29,2,2,2,77,3.88,No,No,62,69,4,NotPlaced
7.66,1,3,2,84,4.2,No,Yes,65,74,9,NotPlaced
8.09,1,2,2,86,4.8,Yes,Yes,74,74,27,Placed
7.55,0,1,0,77,4.63,No,Yes,68,72,12,NotPlaced
8.4,2,3,2,78,4.8,Yes,Yes,70,76,27,Placed
7.74,1,2,0,83,4.54,Yes,Yes,71,82,24,Placed
8.08,0,1,2,83,4.59,Yes,Yes,88,82,17,Placed
8.35,0,3,2,69,4.23,No,Yes,70,73,14,NotPlaced
8.38,1,3,1,79,4.66,Yes,Yes,76,82,29,Placed
7.74,2,3,0,82,3.93,No,No,71,69,13,NotPlaced
7.49,1,3,2,77,4.48,No,Yes,70,72,9,NotPlaced
8.31,0,3,1,86,4.3,Yes,Yes,61,79,21,Placed
7.95,2,2,2,86,4.68,Yes,Yes,68,79,18,Placed
6.91,1,2,2,77,3.92,No,No,61,77,9,NotPlaced
8.27,0,2,2,83,4.48,Yes,Yes,75,75,20,Placed
7.24,0,3,3,81,4.48,No,Yes,65,72,8,NotPlaced
7.02,0,3,2,87,4.71,No,Yes,72,70,9,NotPlaced
7.27,2,0,2,89,4.26,Yes,Yes,79,73,23,Placed
7.45,1,3,2,77,3.56,Yes,No,61,72,14,NotPlaced
7.57,0,1,0,74,4.07,No,Yes,63,72,10,NotPlaced
6.85,1,1,0,81,4.12,No,No,67,71,5,NotPlaced
7.65,1,2,0,73,3.96,No,No,61,65,9,NotPlaced
7.8,1,3,2,85,4.51,Yes,Yes,80,84,23,Placed
7.41,0,3,2,79,4.24,No,Yes,70,68,5,NotPlaced
7.58,1,3,2,86,4.51,Yes,No,83,81,13,Placed
8.33,1,3,0,86,4.8,Yes,Yes,71,80,24,Placed
7.72,2,1,2,87,4.48,Yes,Yes,74,81,26,Placed
7.2,1,2,1,79,4.06,No,No,67,72,9,NotPlaced
7.15,2,1,1,85,4.66,No,No,66,64,9,NotPlaced
7.84,1,3,2,87,4.32,Yes,Yes,76,70,25,Placed
7.87,1,2,0,72,3.94,Yes,No,56,70,12,NotPlaced
7.31,0,3,0,73,4.24,No,Yes,60,83,12,NotPlaced
6.84,1,3,3,75,4.35,No,Yes,65,74,16,NotPlaced
7.51,1,2,1,73,3.8,No,No,65,74,7,NotPlaced
7.78,1,2,0,73,4.36,No,Yes,59,68,9,NotPlaced
7.64,2,3,0,81,4.15,No,Yes,55,73,10,NotPlaced
7.25,1,2,2,75,4.34,Yes,No,62,81,12,NotPlaced
7.48,0,3,2,85,4.66,Yes,Yes,81,86,20,Placed
7.48,1,3,0,80,4.43,Yes,Yes,71,83,23,Placed
7.24,2,2,1,75,4.44,No,Yes,74,77,16,NotPlaced
6.9,1,3,1,83,4.71,No,No,71,68,9,NotPlaced
6.79,1,1,2,76,3.92,Yes,Yes,55,73,9,NotPlaced
7.63,2,2,0,86,4.27,No,No,71,66,7,NotPlaced
8.13,1,3,1,73,4.15,No,No,63,75,15,NotPlaced
7.86,1,3,2,76,4.18,No,No,65,68,7,NotPlaced
8.31,1,2,2,70,4.09,No,No,62,69,19,NotPlaced
6.59,1,2,0,78,4.08,Yes,No,64,80,12,NotPlaced
6.81,1,2,2,81,4.0,Yes,Yes,60,72,15,NotPlaced
6.93,2,2,0,69,4.07,No,Yes,62,73,14,NotPlaced
7.57,2,3,2,86,4.45,Yes,Yes,76,78,19,Placed
7.7,1,2,2,79,4.02,No,Yes,70,78,4,NotPlaced
7.99,1,2,0,74,4.47,No,Yes,55,65,10,NotPlaced
7.85,1,3,2,80,4.54,Yes,Yes,81,80,19,Placed
7.58,1,2,2,83,4.45,Yes,No,62,67,12,NotPlaced
7.11,2,3,2,76,4.34,No,No,70,66,15,NotPlaced
8.27,1,2,0,67,4.14,No,No,61,67,20,NotPlaced
7.27,1,2,1,73,4.2,No,Yes,68,77,18,NotPlaced
7.37,2,3,1,87,4.33,Yes,Yes,60,78,21,Placed
7.27,1,2,0,79,4.35,No,No,60,80,12,NotPlaced
8.28,1,2,0,75,4.12,Yes,No,62,73,18,NotPlaced
7.37,1,1,0,75,4.02,No,No,61,70,6,NotPlaced
7.58,2,3,2,79,4.58,No,No,63,67,5,NotPlaced
8.06,2,1,2,84,4.76,Yes,Yes,78,80,26,Placed
7.7,2,2,0,79,4.18,Yes,No,71,73,8,NotPlaced
6.92,1,3,0,84,4.04,No,No,58,67,0,NotPlaced
7.46,1,2,0,79,4.55,Yes,Yes,69,78,26,Placed
6.95,0,2,0,72,4.52,Yes,Yes,58,74,14,NotPlaced
8.16,1,1,2,83,4.56,Yes,Yes,66,83,25,Placed
7.45,2,3,3,88,4.44,Yes,Yes,77,85,19,Placed
7.4,1,3,0,62,3.95,No,No,67,71,13,NotPlaced
7.76,1,3,3,78,4.15,No,No,65,70,12,NotPlaced
7.07,1,2,0,70,4.32,No,Yes,69,64,10,NotPlaced
8.12,1,3,2,80,4.59,Yes,Yes,73,88,15,Placed
7.79,1,2,2,89,4.3,Yes,Yes,75,79,17,Placed
7.36,1,3,1,71,4.33,No,Yes,67,69,13,NotPlaced
8.05,1,2,2,72,4.12,No,No,64,79,14,NotPlaced
7.87,1,3,0,71,4.28,Yes,Yes,71,66,10,NotPlaced
7.93,1,2,2,80,4.39,No,Yes,61,66,8,NotPlaced
7.42,1,1,0,74,4.21,No,No,68,68,16,NotPlaced
6.5,0,2,1,72,4.22,Yes,No,64,68,18,NotPlaced
7.32,2,1,2,79,4.32,No,Yes,72,73,12,NotPlaced
7.89,2,3,2,82,4.47,Yes,Yes,79,84,27,Placed
7.21,1,3,2,82,4.37,No,No,76,65,22,NotPlaced
7.33,2,3,2,82,4.55,No,Yes,73,81,21,Placed
7.26,1,3,0,80,4.07,No,Yes,66,72,17,NotPlaced
7.63,1,3,1,81,4.45,Yes,No,65,66,7,NotPlaced
6.96,1,3,2,75,3.55,No,No,63,65,14,NotPlaced
